method,fill_rate_target,metric,observed,mean,p2_5,p97_5,rounds
raw,0.081,ap,0.39906103286384975,0.3989859154929577,0.3333333333333333,0.4694835680751174,500
raw,0.081,auc,0.5,0.5,0.5,0.5,500
raw,0.081,precision,0.3990610328451145,0.39898591547422607,0.3333333333176839,0.4694835680530759,500
raw,0.081,f1,0.5704697945419126,0.5695441178624092,0.4999999962147888,0.6389776313936042,500
gene_median,0.081,ap,0.3157389345505329,0.32116488872235016,0.26052033477332165,0.3927940351794417,500
gene_median,0.081,auc,0.3788602941176471,0.38265643560833573,0.30913110507546954,0.4593433777486507,500
gene_median,0.081,precision,0.0,0.0,0.0,0.0,500
gene_median,0.081,f1,0.0,0.0,0.0,0.0,500
svd_impute,0.081,ap,0.5554716789762637,0.560247264571455,0.4526098736602533,0.6656812166665075,500
svd_impute,0.081,auc,0.6111672794117646,0.6113086843259021,0.5346755363760352,0.6821979731130591,500
svd_impute,0.081,precision,0.5636363635338842,0.5637144434229376,0.42032299732034406,0.6991037734488389,500
svd_impute,0.081,f1,0.4428571380234694,0.4400667924530185,0.3321264318068844,0.5462599805469063,500
graph_smooth,0.081,ap,0.6458839368361806,0.646105881317657,0.5531826986199224,0.7348035689449307,500
graph_smooth,0.081,auc,0.6680147058823529,0.6667076788945984,0.5927569537011599,0.7370538980409989,500
graph_smooth,0.081,precision,0.6511627905462412,0.6472296702961857,0.49999999988871047,0.781963315012105,500
graph_smooth,0.081,f1,0.43749999546997076,0.4335630316065937,0.32498436110085244,0.5353385283535519,500
MAGIC,0.081,ap,0.6250885969321317,0.6269667919899273,0.5388890593515746,0.7090420436656828,500
MAGIC,0.081,auc,0.6459558823529412,0.646636105553816,0.5683394273354618,0.7197901100964578,500
MAGIC,0.081,precision,0.6904761903117914,0.6897782058004006,0.5462692966268734,0.8235294115224914,500
MAGIC,0.081,f1,0.45669290888709785,0.45373314052793057,0.3546581150467744,0.5474900034072048,500
scVI,0.081,ap,0.5434456653560125,0.5505470732707884,0.4449797833763105,0.6553061184812988,500
scVI,0.081,auc,0.6341911764705882,0.6336692187510146,0.5458559232091306,0.7043109880315763,500
scVI,0.081,precision,0.6666666665185185,0.6637193313677663,0.5232413418697308,0.7945135744426886,500
scVI,0.081,f1,0.4615384569408284,0.45440482766329976,0.343011765290861,0.5555555508673564,500
latent_truth_scvi_select,0.081,ap,0.573307195989085,0.5785189674723816,0.4852934390342458,0.6687302253774317,500
latent_truth_scvi_select,0.081,auc,0.6120404411764706,0.6114399674019096,0.5371719566943144,0.6892641194321514,500
latent_truth_scvi_select,0.081,precision,0.6122448978342357,0.6157023969395162,0.47542420805243707,0.7478409089444975,500
latent_truth_scvi_select,0.081,f1,0.4477611893239029,0.44656222526597283,0.3452600280785707,0.5423030711221457,500
safe_latent_truth_scvi_select,0.081,ap,0.5269237480572116,0.5400700218239901,0.44449897371108704,0.6477515819102591,500
safe_latent_truth_scvi_select,0.081,auc,0.583639705882353,0.5810906385702052,0.499466844524984,0.6547620504750248,500
safe_latent_truth_scvi_select,0.081,precision,0.5961538460392012,0.5975395903446007,0.482088122519017,0.7180482454910477,500
safe_latent_truth_scvi_select,0.081,f1,0.45255473974958715,0.4510148690034596,0.3574186943696001,0.5454545405983046,500
