method_a,method_b,pearson,mad
raw,gene_median,,0.8837603330612183
raw,svd_impute,,0.3334423899650574
raw,graph_smooth,,0.3578067123889923
raw,MAGIC,,0.4024180769920349
raw,scVI,,0.4157178997993469
raw,latent_truth_scvi_select,,4.306778430938721
raw,safe_latent_truth_scvi_select,,1.1870951652526855
gene_median,svd_impute,-0.361953389618505,0.6785566210746765
gene_median,graph_smooth,-0.3647609626645719,0.7072967886924744
gene_median,MAGIC,-0.4025390507011624,0.6734634637832642
gene_median,scVI,-0.3958092487739732,0.6621065139770508
gene_median,latent_truth_scvi_select,0.20463259065583905,5.171344757080078
gene_median,safe_latent_truth_scvi_select,0.13187041656372966,1.4330742359161377
svd_impute,graph_smooth,0.8391550903046389,0.15302927792072296
svd_impute,MAGIC,0.909840604330455,0.11420245468616486
svd_impute,scVI,0.8971207272930607,0.12714853882789612
svd_impute,latent_truth_scvi_select,0.3799998872202191,4.6073079109191895
svd_impute,safe_latent_truth_scvi_select,0.14602294618209577,0.9279536604881287
graph_smooth,MAGIC,0.8991810580988999,0.1327781230211258
graph_smooth,scVI,0.8901693950379097,0.14464019238948822
graph_smooth,latent_truth_scvi_select,0.351483534159478,4.631073951721191
graph_smooth,safe_latent_truth_scvi_select,0.14751671736143168,0.9093082547187805
MAGIC,scVI,0.9507298707144725,0.08016345649957657
MAGIC,latent_truth_scvi_select,0.3507991657158557,4.675271034240723
MAGIC,safe_latent_truth_scvi_select,0.14870089519739588,0.8743876814842224
scVI,latent_truth_scvi_select,0.3282473588742378,4.688972473144531
scVI,safe_latent_truth_scvi_select,0.1432176620013652,0.864220380783081
latent_truth_scvi_select,safe_latent_truth_scvi_select,0.6049857562021003,3.9614803791046143
