method,fill_rate_target,threshold,fill_rate_actual,precision,recall,f1,control_fp,rare_support,coverage_fusion,coverage_fallback
raw,0.02,0.0,1.0,0.3990610328451145,0.999999999882353,0.5704697945419126,1.0,1.0,,
raw,0.04,0.0,1.0,0.3990610328451145,0.999999999882353,0.5704697945419126,1.0,1.0,,
raw,0.06,0.0,1.0,0.3990610328451145,0.999999999882353,0.5704697945419126,1.0,1.0,,
raw,0.08,0.0,1.0,0.3990610328451145,0.999999999882353,0.5704697945419126,1.0,1.0,,
raw,0.081,0.0,1.0,0.3990610328451145,0.999999999882353,0.5704697945419126,1.0,1.0,,
raw,0.1,0.0,1.0,0.3990610328451145,0.999999999882353,0.5704697945419126,1.0,1.0,,
raw,0.12,0.0,1.0,0.3990610328451145,0.999999999882353,0.5704697945419126,1.0,1.0,,
gene_median,0.02,2.2758186960220317,0.02,0.0,0.0,0.0,0.020011806966110005,0.0023941068139963165,,
gene_median,0.04,2.085237388610838,0.04,0.0,0.0,0.0,0.04002361393222001,0.0037753222836095766,,
gene_median,0.06,1.9636844897270198,0.06,0.0,0.0,0.0,0.060030417946588484,0.005432780847145488,,
gene_median,0.08,1.8903563022613525,0.080025,0.0,0.0,0.0,0.08006723967140612,0.006906077348066298,,
gene_median,0.081,1.8871418237686157,0.081025,0.0,0.0,0.0,0.08106783001971163,0.006906077348066298,,
gene_median,0.1,1.8015010714530946,0.1,0.0,0.0,0.0,0.10004902892706696,0.009300184162062615,,
gene_median,0.12,1.721637768745422,0.12,0.0,0.0,0.0,0.12006083589317697,0.011878453038674033,,
svd_impute,0.02,1.3526093673706028,0.02,0.6857142855183673,0.2823529411432526,0.39999999580138895,0.019581553116338638,0.002117863720073665,,
svd_impute,0.04,1.1056459236145018,0.04,0.6499999998375,0.30588235290519034,0.4159999955814401,0.0395483335167749,0.005248618784530387,,
svd_impute,0.06,0.9632707905769348,0.06,0.5918367345730945,0.3411764705480969,0.43283581619180217,0.05955013457940185,0.007826887661141806,,
svd_impute,0.08,0.8581567788124086,0.08,0.5555555554526749,0.35294117642906575,0.4316546714455774,0.07954693269028727,0.009576427255985266,,
svd_impute,0.081,0.8533871396780014,0.081,0.5636363635338842,0.36470588231003465,0.4428571380234694,0.08054752303859276,0.009760589318600368,,
svd_impute,0.1,0.7762438774108888,0.1,0.5254237287245045,0.36470588231003465,0.4305555506587578,0.09955873965639728,0.011694290976058931,,
svd_impute,0.12,0.7110860347747803,0.12,0.4769230768497042,0.36470588231003465,0.41333332836711123,0.11956054071902422,0.013535911602209945,,
graph_smooth,0.02,1.4843584823608371,0.02,0.8333333330555556,0.2941176470242215,0.4347826047637052,0.01966160034420308,0.0017495395948434623,,
graph_smooth,0.04,1.2378096723556509,0.04,0.7499999997916666,0.3176470587861592,0.4462809874817295,0.039638386648122394,0.0038674033149171273,,
graph_smooth,0.06,1.088976171016693,0.06,0.6999999998249999,0.32941176466712807,0.44799999557632014,0.059640187710749346,0.006353591160220995,,
graph_smooth,0.08,0.9802120923995972,0.080005,0.6511627905462412,0.32941176466712807,0.43749999546997076,0.07962697991815171,0.00865561694290976,,
graph_smooth,0.081,0.9759595990180969,0.081005,0.6511627905462412,0.32941176466712807,0.43749999546997076,0.08062757026645721,0.00865561694290976,,
