cell_type,is_rare,labeled_count,fill_fraction,pr_auc,roc_auc,precision_at_threshold,recall_at_threshold,f1_at_threshold
Cluster_0,False,106,0.08874533677149515,0.750592746905995,0.6865942028985506,0.7083333330381945,0.2833333332861111,0.40476190058390027
Cluster_1,True,4,0.0027198549410698096,,,,,
Cluster_10,False,16,0.06655574043261231,0.5515151515151515,0.5833333333333333,0.6666666644444444,0.49999999875,0.5714285648979592
Cluster_11,False,74,0.08758938906242568,0.7396817875846746,0.8247162673392181,0.624999999609375,0.7692307686390532,0.6896551669916765
Cluster_12,True,2,0.03225806451612903,,,,,
Cluster_16,True,1,0.013986013986013986,,,,,
Cluster_17,True,1,0.0017123287671232876,,,,,
Cluster_4,True,2,0.003663003663003663,,,,,
Cluster_5,True,4,0.006394490900147565,,,,,
Cluster_6,True,1,0.057329462989840346,,,,,
Cluster_8,True,2,0.01859229747675963,,,,,
