method,fill_rate_target,metric,observed,mean,p2_5,p97_5,rounds
raw,0.081,ap,0.23706896551724138,0.23762931034482757,0.1810344827586207,0.29310344827586204,500
raw,0.081,auc,0.5,0.5,0.5,0.5,500
raw,0.081,precision,0.2370689655070229,0.23762931033458495,0.18103448275081746,0.2931034482632283,500
raw,0.081,f1,0.38327525819907976,0.38318877741931945,0.3065693404475465,0.45333332979733343,500
gene_median,0.081,ap,0.25670073196835963,0.2668896879753633,0.1832680059262748,0.35925333486380473,500
gene_median,0.081,auc,0.49404211607601434,0.49967345108863376,0.4070767241497579,0.5881396385808699,500
gene_median,0.081,precision,0.2352941175086505,0.23397323110522744,0.05555555552469135,0.4444444441975308,500
gene_median,0.081,f1,0.11111110747299392,0.11108357467613898,0.026315785919235245,0.21136363243627213,500
svd_impute,0.081,ap,0.47848418029868,0.48010289085546204,0.34125219282309815,0.605128319122666,500
svd_impute,0.081,auc,0.6598870056497175,0.657529525224676,0.5602309312273951,0.7511861938019121,500
svd_impute,0.081,precision,0.4583333332378472,0.45170023912260143,0.3151988635678348,0.5909090907747934,500
svd_impute,0.081,f1,0.42718446095956264,0.418793072704687,0.29214938528833834,0.53225805950426,500
graph_smooth,0.081,ap,0.6245811680167577,0.6275278895776003,0.5125141149798622,0.7310935782573647,500
graph_smooth,0.081,auc,0.7656908063687725,0.7664886849851051,0.6895904735001153,0.8423300028608687,500
graph_smooth,0.081,precision,0.6470588233391004,0.6460196550893188,0.4830808079173979,0.7999999997333334,500
graph_smooth,0.081,f1,0.49438201763918704,0.4894807354222357,0.3589743544800297,0.6086075899933145,500
MAGIC,0.081,ap,0.5504488050667663,0.5564268847615615,0.4268535460039331,0.6731100203820526,500
MAGIC,0.081,auc,0.6843348741653826,0.6858516648744654,0.5970849754004668,0.7781433703945441,500
MAGIC,0.081,precision,0.6388888887114197,0.6358032828991965,0.4729166665385904,0.7919117644845769,500
MAGIC,0.081,f1,0.5054945006013768,0.5034492953130005,0.37660472495257213,0.6286714375250982,500
scVI,0.081,ap,0.6047781768209797,0.6148648514002802,0.4832183765611109,0.7363736396678527,500
scVI,0.081,auc,0.7544940934771445,0.756202075993544,0.6716406566738307,0.8338862929795876,500
scVI,0.081,precision,0.6486486484733381,0.6519728850637575,0.4999999998611111,0.8142269734508972,500
scVI,0.081,f1,0.52173912551276,0.5217349229604568,0.39567694671148357,0.6499158198957079,500
latent_truth_scvi_select,0.081,ap,0.5339857874976024,0.5355940986716302,0.41975006854887614,0.6558487308794052,500
latent_truth_scvi_select,0.081,auc,0.6740626605033385,0.6717324039959244,0.5853018203547864,0.7562110546742254,500
latent_truth_scvi_select,0.081,precision,0.5675675674141709,0.5667421696388242,0.4176829267235433,0.7466071426469514,500
latent_truth_scvi_select,0.081,f1,0.45652173422258985,0.4522652424241749,0.3291139193206217,0.580338704783559,500
safe_latent_truth_scvi_select,0.081,ap,0.5044481840202262,0.5039356721056943,0.3655174310675825,0.6314532746873025,500
safe_latent_truth_scvi_select,0.081,auc,0.6454031843862353,0.6442202992617643,0.5418931491701329,0.7376247585093296,500
safe_latent_truth_scvi_select,0.081,precision,0.6190476189002267,0.6159461704731405,0.46765624984875326,0.7692307690594182,500
safe_latent_truth_scvi_select,0.081,f1,0.5360824692060794,0.5299201606587054,0.3855421637458267,0.6425458666242889,500
