cell_type,is_rare,labeled_count,fill_fraction,pr_auc,roc_auc,precision_at_threshold,recall_at_threshold,f1_at_threshold
Cluster_0,False,81,0.10444399882768514,0.5713133843451451,0.5760233918128655,0.8181818174380164,0.37499999984375,0.5142857096816328
Cluster_11,False,53,0.06599640090759722,0.6228195821932476,0.7271062271062271,0.49999999964285713,0.49999999964285713,0.4999999946428572
Cluster_13,True,1,0.04081632653061224,,,,,
Cluster_14,True,1,0.08038585209003216,,,,,
Cluster_15,True,3,0.08067831449126413,,,,,
Cluster_17,True,1,0.04310344827586207,,,,,
Cluster_19,True,5,0.08433344145313007,0.0,,0.0,0.0,0.0
Cluster_3,True,2,0.05191256830601093,,,,,
Cluster_4,False,84,0.08348549540767995,0.6936700686589972,0.8911325724319579,0.666666666111111,0.470588235017301,0.5517241326991676
Cluster_8,True,1,0.03316326530612245,,,,,
