method,fill_rate_target,metric,observed,mean,p2_5,p97_5,rounds
raw,0.081,ap,0.4028268551236749,0.4033639575971732,0.344434628975265,0.45936395759717313,500
raw,0.081,auc,0.5,0.5,0.5,0.5,500
raw,0.081,precision,0.4028268551094407,0.40336395758292,0.3444346289630942,0.4593639575809412,500
raw,0.081,f1,0.5743073006630331,0.5742082469569078,0.5123832673319868,0.629539947229567,500
gene_median,0.081,ap,0.31716443637029357,0.32445590787465606,0.2637585251475751,0.38424258429146213,500
gene_median,0.081,auc,0.3476590885497768,0.34981540105019626,0.28568917476609174,0.41196477796465686,500
gene_median,0.081,precision,0.21276595740153914,0.2185461161672732,0.1136363636105372,0.34097042026437263,500
gene_median,0.081,f1,0.12422359833494093,0.12808725128576315,0.06136588365187217,0.20366106853279414,500
svd_impute,0.081,ap,0.5689890882523309,0.5730290577638434,0.4843861064316369,0.669013911089022,500
svd_impute,0.081,auc,0.6690542925360738,0.6691712466377221,0.6023827701557729,0.7343090541583716,500
svd_impute,0.081,precision,0.6226415093164828,0.6223334408682993,0.48861236791289536,0.7618367721453837,500
svd_impute,0.081,f1,0.3952095764581018,0.39055638168798007,0.2795310033483125,0.48199258103031334,500
graph_smooth,0.081,ap,0.6483368361229442,0.6497938661468945,0.5556496819969409,0.737357398044267,500
graph_smooth,0.081,auc,0.7225163500467143,0.720932906700534,0.6630043183588241,0.7796746319832898,500
graph_smooth,0.081,precision,0.7499999998125,0.7455300610089935,0.6073973040819358,0.8769886360939463,500
graph_smooth,0.081,f1,0.38961038571428586,0.3866557682634817,0.2906598120095287,0.482363934191078,500
MAGIC,0.081,ap,0.5836801609187539,0.5888331925906825,0.4960405510355808,0.6802448289101085,500
MAGIC,0.081,auc,0.669261912176892,0.669605564872895,0.6010060603882145,0.7413227588659811,500
MAGIC,0.081,precision,0.5652173911814745,0.5661165036358944,0.4343519277217972,0.7061975523143338,500
MAGIC,0.081,f1,0.32499999586250006,0.32372141404530874,0.2287418707764194,0.41405355610170835,500
scVI,0.081,ap,0.6237066783739346,0.6289387885106201,0.5284732605847628,0.7154652087679509,500
scVI,0.081,auc,0.7034672480016609,0.7031331471693252,0.6407080453149002,0.7676347576147757,500
scVI,0.081,precision,0.7045454543853306,0.7060317910268876,0.5678593364674656,0.8316489359821846,500
scVI,0.081,f1,0.39240505922288105,0.3920404463457232,0.29577464405822257,0.48062610970855557,500
latent_truth_scvi_select,0.081,ap,0.5798189658975379,0.583151377069059,0.48530348241478777,0.6667813222463306,500
latent_truth_scvi_select,0.081,auc,0.5645178033842002,0.5661016787008228,0.4929639916202823,0.6438410169675762,500
latent_truth_scvi_select,0.081,precision,0.574999999928125,0.5766732800122906,0.4602499999470671,0.6913580246060053,500
latent_truth_scvi_select,0.081,f1,0.4742267992283984,0.4748457083982642,0.3809421291186165,0.5598031039028892,500
safe_latent_truth_scvi_select,0.081,ap,0.6165775249181935,0.6198197467772163,0.5306885859372763,0.7032754637315768,500
safe_latent_truth_scvi_select,0.081,auc,0.6426346932419806,0.6429575713242411,0.5709120677395737,0.7146275941377835,500
safe_latent_truth_scvi_select,0.081,precision,0.6727272726049587,0.6734617829836774,0.5420021185411574,0.79999999984,500
safe_latent_truth_scvi_select,0.081,f1,0.43786981804278563,0.43430867064024864,0.3342178730691917,0.5319295442649951,500
