method_a,method_b,pearson,mad
raw,gene_median,,0.9655886888504028
raw,svd_impute,,0.3208432197570801
raw,graph_smooth,,0.33142557740211487
raw,MAGIC,,0.39013203978538513
raw,scVI,,0.4467667043209076
raw,latent_truth_scvi_select,,8.760597229003906
raw,safe_latent_truth_scvi_select,,1.6454464197158813
gene_median,svd_impute,0.22234443416024893,0.6797940731048584
gene_median,graph_smooth,0.17588445695210547,0.6839852333068848
gene_median,MAGIC,0.29305804865106017,0.6274286508560181
gene_median,scVI,0.21870611357264177,0.5888442397117615
gene_median,latent_truth_scvi_select,0.13857649128935048,9.675257682800293
gene_median,safe_latent_truth_scvi_select,0.10500351926963067,1.7096904516220093
svd_impute,graph_smooth,0.7117739307295524,0.19781532883644104
svd_impute,MAGIC,0.8185699008501472,0.152400940656662
svd_impute,scVI,0.6924182760823561,0.22318896651268005
svd_impute,latent_truth_scvi_select,0.5462576737297947,9.01662540435791
svd_impute,safe_latent_truth_scvi_select,0.08081450223025707,1.405758023262024
graph_smooth,MAGIC,0.8303796451560634,0.16547533869743347
graph_smooth,scVI,0.7180997428489734,0.22587625682353973
graph_smooth,latent_truth_scvi_select,0.4823160706614235,9.02690601348877
graph_smooth,safe_latent_truth_scvi_select,0.11304282626265376,1.38706374168396
MAGIC,scVI,0.7998161062522098,0.16592976450920105
MAGIC,latent_truth_scvi_select,0.5699685047607886,9.081108093261719
MAGIC,safe_latent_truth_scvi_select,0.13599725992759643,1.3370157480239868
scVI,latent_truth_scvi_select,0.4638828303381246,9.140409469604492
scVI,safe_latent_truth_scvi_select,0.13125473708781926,1.2900623083114624
latent_truth_scvi_select,safe_latent_truth_scvi_select,0.4581700810120556,8.032447814941406
