method,fill_rate_target,threshold,fill_rate_actual,precision,recall,f1,control_fp,rare_support,coverage_fusion,coverage_fallback
raw,0.02,0.0,1.0,0.4028268551094407,0.9999999999122807,0.5743073006630331,1.0,1.0,,
raw,0.04,0.0,1.0,0.4028268551094407,0.9999999999122807,0.5743073006630331,1.0,1.0,,
raw,0.06,0.0,1.0,0.4028268551094407,0.9999999999122807,0.5743073006630331,1.0,1.0,,
raw,0.08,0.0,1.0,0.4028268551094407,0.9999999999122807,0.5743073006630331,1.0,1.0,,
raw,0.081,0.0,1.0,0.4028268551094407,0.9999999999122807,0.5743073006630331,1.0,1.0,,
raw,0.1,0.0,1.0,0.4028268551094407,0.9999999999122807,0.5743073006630331,1.0,1.0,,
raw,0.12,0.0,1.0,0.4028268551094407,0.9999999999122807,0.5743073006630331,1.0,1.0,,
gene_median,0.02,1.023703694343567,0.020255,0.18918918913805696,0.06140350876654355,0.09271522807596172,0.020255,0.009215158417891903,,
gene_median,0.04,1.017911434173584,0.04034,0.17948717944115714,0.06140350876654355,0.09150326416335613,0.04034,0.009215158417891903,,
gene_median,0.06,1.0145373344421387,0.06005,0.20930232553272038,0.07894736841412743,0.1146496775366142,0.06005,0.009215158417891903,,
gene_median,0.08,1.0120784044265747,0.08052,0.21276595740153914,0.08771929823791937,0.12422359833494093,0.08052,0.009215158417891903,,
gene_median,0.081,1.0118554830551147,0.08158,0.21276595740153914,0.08771929823791937,0.12422359833494093,0.08158,0.009215158417891903,,
gene_median,0.1,1.0097432136535645,0.10148,0.21568627446751248,0.0964912280617113,0.1333333290460975,0.10148,0.009215158417891903,,
gene_median,0.12,1.0077509880065918,0.12058,0.21818181814214876,0.10526315788550324,0.14201182991211808,0.12058,0.009215158417891903,,
svd_impute,0.02,1.3610810565948486,0.020005,0.7619047615419501,0.140350877180671,0.23703703437476,0.020005,0.009629322841167944,,
svd_impute,0.04,1.0850561380386339,0.04,0.72413793078478,0.18421052629963067,0.29370629043180596,0.04,0.024021536550010353,,
svd_impute,0.06,0.9306125640869141,0.06,0.5945945944338933,0.1929824561234226,0.29139072473838873,0.06,0.04001863739904742,,
svd_impute,0.08,0.8236311411857606,0.08,0.639999999872,0.280701754361342,0.39024389815288524,0.08,0.05684406709463657,,
svd_impute,0.081,0.8181040116548542,0.081,0.6226415093164828,0.2894736841851339,0.3952095764581018,0.081,0.05767239594118865,,
svd_impute,0.1,0.7443925261497498,0.1,0.6065573769497447,0.32456140348030166,0.4228571382674286,0.1,0.0744978256367778,,
svd_impute,0.12,0.6809867191314697,0.12,0.6031746030788612,0.3333333333040936,0.42937852644003965,0.12,0.091737419755643,,
graph_smooth,0.02,1.4723978853225677,0.02,0.894736841634349,0.14912280700446293,0.2556390952569394,0.02,0.009732863946986954,,
graph_smooth,0.04,1.1674505472183228,0.040005,0.8461538458284024,0.1929824561234226,0.3142857112163266,0.040005,0.02376268378546283,,
graph_smooth,0.06,1.0061818361282349,0.060005,0.7567567565522278,0.2456140350661742,0.3708609234033595,0.060005,0.039656243528680885,,
graph_smooth,0.08,0.8930347061157251,0.08,0.7499999998125,0.2631578947137581,0.38961038571428586,0.08,0.05560157382480845,,
graph_smooth,0.081,0.8880915448069575,0.081,0.7499999998125,0.2631578947137581,0.38961038571428586,0.081,0.056378132118451024,,
graph_smooth,0.1,0.8070271968841554,0.1,0.7674418602866414,0.2894736841851339,0.42038216157410047,0.1,0.07108096914475047,,
graph_smooth,0.12,0.7391925644874572,0.12,0.779999999844,0.34210526312788553,0.4756097518010114,0.12,0.08624974114723545,,
MAGIC,0.02,1.5032445573806736,0.02,0.7037037034430726,0.1666666666520468,0.26950354296463963,0.02,0.009370470076620419,,
MAGIC,0.04,1.2059059381484973,0.04,0.6451612901144641,0.17543859647583873,0.2758620655657551,0.04,0.022675502174363222,,
MAGIC,0.06,1.0289616632461547,0.06,0.6249999998046875,0.17543859647583873,0.2739725992794146,0.06,0.038931455787947815,,
MAGIC,0.08,0.9188231778144839,0.08,0.5652173911814745,0.22807017541859034,0.32499999586250006,0.08,0.054928556636984885,,
MAGIC,0.081,0.9135704346895221,0.081,0.5652173911814745,0.22807017541859034,0.32499999586250006,0.081,0.055653344377717955,,
MAGIC,0.1,0.83566951751709,0.1,0.6140350876115728,0.3070175438327178,0.4093567206538764,0.1,0.06947608200455581,,
MAGIC,0.12,0.7622732305526733,0.12,0.6065573769497447,0.32456140348030166,0.4228571382674286,0.12,0.08780285773452061,,
scVI,0.02,1.6027261757850624,0.02,0.624999999609375,0.08771929823791937,0.15384615166390536,0.02,0.009215158417891903,,
scVI,0.04,1.317119798660278,0.04,0.6785714283290816,0.1666666666520468,0.26760563059908754,0.04,0.022623731621453716,,
scVI,0.06,1.1533969092369079,0.06,0.7435897433990796,0.2543859648899662,0.37908496347216886,0.06,0.03598053427210603,,
scVI,0.08,1.036765360832215,0.08,0.7209302323904814,0.27192982453755005,0.39490445457097656,0.08,0.051563470697867056,,
scVI,0.081,1.03155114877224,0.081,0.7045454543853306,0.27192982453755005,0.39240505922288105,0.081,0.05285773452060468,,
scVI,0.1,0.9481804013252259,0.1,0.7321428570121173,0.3596491227754694,0.4823529367017302,0.1,0.06724994822944709,,
scVI,0.12,0.8780499768257141,0.12,0.6969696968640956,0.4035087718944291,0.5111111064098766,0.12,0.08236694967902257,,
latent_truth_scvi_select,0.02,1.3302982687950047,0.02,0.7857142854336735,0.1929824561234226,0.30985915171989686,0.02,0.07315179126113067,,
latent_truth_scvi_select,0.04,-0.8652860498428463,0.04,0.6458333331987847,0.27192982453755005,0.3827160451653711,0.04,0.12005591219714226,,
latent_truth_scvi_select,0.06,-2.1190999794006347,0.06,0.5999999999076924,0.34210526312788553,0.4357541852701227,0.06,0.16193828950093186,,
