cell_type,is_rare,labeled_count,fill_fraction,pr_auc,roc_auc,precision_at_threshold,recall_at_threshold,f1_at_threshold
Cluster_0,False,72,0.06828094744459874,0.652841059122523,0.8154392191659272,0.7272727266115702,0.347826086805293,0.47058823064013844
Cluster_10,False,25,0.07732213438735178,0.723437865634662,0.5666666666666667,0.6666666644444444,0.13333333324444444,0.22222221919753085
Cluster_11,True,1,0.03188405797101449,,,,,
Cluster_12,True,5,0.05961251862891207,0.7555555555555555,0.5,0.0,0.0,0.0
Cluster_13,True,14,0.07602275213301248,0.9237043820377154,0.8444444444444446,0.999999995,0.2222222219753086,0.36363636
Cluster_14,True,4,0.06672091131000814,,,,,
Cluster_2,False,55,0.08718438730599953,0.523078713958585,0.5867768595041323,0.46153846118343195,0.27272727260330576,0.34285713799183676
Cluster_4,False,87,0.08860798237022527,0.6782550580071574,0.8020176544766708,0.631578947036011,0.46153846136094673,0.5333333282172841
Cluster_5,True,4,0.10334928229665072,,,,,
Cluster_6,True,1,0.04891815616180621,,,,,
Cluster_9,False,15,0.065804810850906,0.6119605394605395,0.36,0.4999999975,0.0999999999,0.16666666361111113
